	E1_CONCEPT_ID	E2_CONCEPT_ID	E1_NAME	E1_DOMAIN	E2_NAME	E2_DOMAIN	AVG_NUMBER_OF_DAYS_BETWEEN_EVENTS	E1_E2_EVENTPERIOD_COUNT	EVENT_PAIR_PVALUE	EVENT_PAIR_PVALUE_SIGNIFICANT	EVENT_PAIR_EFFECT	EVENTPERIOD_COUNT_E1_OCCURS_FIRST	AVG_AGE_OF_EVENTPERIOD_E1_OCCURS_FIRST	EVENTPERIOD_COUNT_E2_OCCURS_FIRST	EVENTPERIOD_COUNT_E1_E2_OCCUR_ON_SAME_DAY	DIRECTIONAL_EVENT_PAIR_PVALUE	DIRECTIONAL_EVENT_PAIR_PVALUE_SIGNIFICANT	E1_COUNT	E2_COUNT	E2_COUNT_IN_CONTROL_GROUP	EVENTPERIOD_COUNT_HAVING_E2_RIGHT_AFTER_E1
1	316139	942350	Heart failure	Condition	torsemide	Drug	879	1373	3.58569516388723e-75	*	1.55854494015066	1373	74.4471959213401	248	271	7.31229410176101e-158	*	3502	2565	881	NA
2	316139	319835	Heart failure	Condition	Congestive heart failure	Condition	790	1159	2.51953959072819e-56	*	1.53453370204428	1159	75.2562553925798	641	52	5.73299665427743e-34	*	3502	2652	755	NA
3	4068155	1307046	Atrial arrhythmia	Condition	metoprolol	Drug	683	1109	1.7298038091349e-46	*	1.44086289182188	1109	73.7628494138864	521	41	7.16362229503753e-48	*	2486	4500	770	NA
4	4193704	19059796	Type 2 diabetes mellitus without complication	Condition	gliclazide	Drug	628	1348	1.53753712348878e-41	*	1.4323686378119	1348	66.8597922848665	376	38	2.0022212161994e-125	*	7489	2250	941	NA
5	201826	19059796	Type 2 diabetes mellitus	Condition	gliclazide	Drug	648	1247	2.83487916747624e-34	*	1.39251629269635	1247	68.3873295910184	192	49	1.1685437291124e-181	*	5983	2250	896	NA
6	443732	40566982	Disorder due to type 2 diabetes mellitus	Condition	Death	Condition	990	1254	8.42426431655315e-28	*	1.34160643906981	1254	77.0510366826156	0	0	0	*	6245	1685	935	NA
7	443732	40480694	Disorder due to type 2 diabetes mellitus	Condition	High hemoglobin A1c level	Condition	797	1179	1.56448906954293e-25	*	1.33784621163989	1179	66.7302798982188	837	23	1.58123769877105e-14	*	6245	2848	881	NA
8	314378	942350	Hypertensive heart disease with congestive heart failure	Condition	torsemide	Drug	962	1672	2.02664404233286e-38	*	1.32575895349634	1672	74.38995215311	299	38	6.79346746944653e-226	*	5137	2565	1261	NA
9	321318	1307046	Angina pectoris	Condition	metoprolol	Drug	843	1153	1.49781382858788e-30	*	1.31957391515603	1153	72.6660884648742	401	38	1.79270728574168e-82	*	2554	4500	874	NA
10	201826	40480694	Type 2 diabetes mellitus	Condition	High hemoglobin A1c level	Condition	817	1342	6.86004365392062e-26	*	1.30820360429143	1342	66.371087928465	328	39	3.62837608493873e-142	*	5983	2848	1026	NA
11	4193704	40480694	Type 2 diabetes mellitus without complication	Condition	High hemoglobin A1c level	Condition	794	1478	6.36863671036022e-27	*	1.30307823684614	1478	64.8964817320704	589	40	2.82426158256904e-86	*	7489	2848	1134	NA
12	4193704	1503297	Type 2 diabetes mellitus without complication	Condition	metformin	Drug	392	3984	1.07260087726429e-98	*	1.29188378031722	3984	64.9954819277108	1519	401	1.01403674156956e-232	*	7489	7887	3084	NA
13	314378	40566982	Hypertensive heart disease with congestive heart failure	Condition	Death	Condition	1088	1188	1.38186957386549e-20	*	1.28414021303033	1188	78.7356902356902	0	0	0	*	5137	1685	925	NA
14	443732	1334456	Disorder due to type 2 diabetes mellitus	Condition	ramipril	Drug	618	1158	1.05813133441294e-16	*	1.25841552494011	1158	70.7046632124352	488	20	2.34889043972532e-62	*	6245	2392	920	NA
15	4193704	1510813	Type 2 diabetes mellitus without complication	Condition	rosuvastatin	Drug	746	1613	4.35157701172469e-23	*	1.25747066031047	1613	65.4941103533788	304	48	6.43619135829349e-209	*	7489	2506	1283	NA
16	4041554	1510813	Serum cholesterol raised	Condition	rosuvastatin	Drug	966	1171	7.92851818962648e-15	*	1.23177515136873	1171	65.4739538855679	268	15	1.20629221515069e-133	*	5251	2506	951	NA
17	319034	314378	Hypertensive heart disease without congestive heart failure	Condition	Hypertensive heart disease with congestive heart failure	Condition	836	2381	1.63563984204247e-30	*	1.22652908547843	2381	70.8320033599328	1712	69	1.86448580288799e-25	*	7272	5137	1941	NA
18	314378	319835	Hypertensive heart disease with congestive heart failure	Condition	Congestive heart failure	Condition	862	1328	2.30688279717908e-16	*	1.22472298547991	1328	74.5760542168675	393	561	9.97512213939551e-88	*	5137	2652	1084	NA
19	4193704	1314577	Type 2 diabetes mellitus without complication	Condition	nebivolol	Drug	757	1132	9.73813742826537e-13	*	1.22324424541527	1132	64.7703180212014	259	31	1.40645719345301e-127	*	7489	1826	925	NA
20	442604	201826	Hypertensive heart disease	Condition	Type 2 diabetes mellitus	Condition	762	1374	1.31447428289272e-17	*	1.21806360985095	1374	69.5771470160117	1101	511	2.87698816503119e-07	*	4028	5983	1128	NA
21	4217557	1503297	Simple obesity	Condition	metformin	Drug	650	1437	2.14758308618028e-21	*	1.21800608804286	1437	60.5330549756437	1086	34	2.07183784831019e-12	*	3110	7887	1180	NA
22	442604	314378	Hypertensive heart disease	Condition	Hypertensive heart disease with congestive heart failure	Condition	860	1478	1.58625247000605e-18	*	1.21178598789074	1478	71.5250338294993	1036	72	1.7640531473892e-18	*	4028	5137	1220	NA
23	201826	1503297	Type 2 diabetes mellitus	Condition	metformin	Drug	444	3477	2.86501609096381e-56	*	1.21106771445805	3477	66.441184929537	700	554	0	*	5983	7887	2871	NA
24	4193704	1545958	Type 2 diabetes mellitus without complication	Condition	atorvastatin	Drug	810	1523	1.27664810386229e-15	*	1.20847676481746	1523	67.1483913328956	296	35	8.87523063399828e-195	*	7489	2440	1260	NA
25	4041554	1545958	Serum cholesterol raised	Condition	atorvastatin	Drug	1051	1112	8.83947980372506e-12	*	1.20630101679376	1112	66.5980215827338	275	11	5.85447445813548e-119	*	5251	2440	922	NA
26	443732	942350	Disorder due to type 2 diabetes mellitus	Condition	torsemide	Drug	860	1563	1.94293728288632e-16	*	1.20600312272331	1563	73.2437619961612	357	17	1.34160232004362e-177	*	6245	2565	1296	NA
27	4193704	1317640	Type 2 diabetes mellitus without complication	Condition	telmisartan	Drug	652	1386	7.47338305316578e-14	*	1.20580843872228	1386	65.995670995671	359	28	8.09574978374193e-140	*	7489	2378	1149	NA
28	316139	1307046	Heart failure	Condition	metoprolol	Drug	789	1408	9.43455314856576e-18	*	1.20547757410746	1408	73.703125	639	44	4.61920096783064e-65	*	3502	4500	1168	NA
29	314378	316139	Hypertensive heart disease with congestive heart failure	Condition	Heart failure	Condition	661	1342	2.41870934809004e-14	*	1.2044930293623	1342	73.0581222056632	1026	282	4.50155972844124e-10	*	5137	3502	1114	NA
30	319034	978555	Hypertensive heart disease without congestive heart failure	Condition	indapamide	Drug	1232	1154	3.70085219723813e-11	*	1.20120707007768	1154	68.0996533795494	147	26	1.74762878392721e-189	*	7272	1548	961	NA
31	314378	1307046	Hypertensive heart disease with congestive heart failure	Condition	metoprolol	Drug	824	2108	6.36987601092001e-25	*	1.20096241463924	2108	72.6328273244782	727	45	5.7077824899916e-152	*	5137	4500	1755	NA
32	443732	1545958	Disorder due to type 2 diabetes mellitus	Condition	atorvastatin	Drug	741	1200	3.1919648253436e-11	*	1.19351086195196	1200	68.4891666666667	420	29	2.26060332548e-85	*	6245	2440	1005	NA
33	320128	319034	Essential hypertension	Condition	Hypertensive heart disease without congestive heart failure	Condition	875	2378	1.43150184439244e-24	*	1.18575264564836	2378	65.5151387720774	1553	81	3.65673500614033e-39	*	5804	7272	2005	NA
34	319034	1332418	Hypertensive heart disease without congestive heart failure	Condition	amlodipine	Drug	970	2712	2.20218386038812e-26	*	1.18529819880528	2712	68.7540560471976	617	86	2.71857281550591e-302	*	7272	4173	2288	NA
35	4193704	1332418	Type 2 diabetes mellitus without complication	Condition	amlodipine	Drug	759	2452	2.12119972706014e-22	*	1.18335490970261	2452	67.5950244698206	556	76	1.84210512675926e-274	*	7489	4173	2072	NA
36	319034	1317640	Hypertensive heart disease without congestive heart failure	Condition	telmisartan	Drug	823	1504	1.36881328393426e-12	*	1.18212776786057	1504	67.4122340425532	381	54	1.12447538321681e-152	*	7272	2378	1272	NA
37	1503297	40480694	metformin	Drug	High hemoglobin A1c level	Condition	836	1227	5.48802104233172e-10	*	1.18041013538043	1227	65.5517522412388	1056	57	0.000236993749705753	*	7887	2848	1039	NA
38	314378	1373225	Hypertensive heart disease with congestive heart failure	Condition	perindopril	Drug	1057	1264	5.61918627946883e-11	*	1.17899933624177	1264	70.1170886075949	306	34	3.74744189688062e-135	*	5137	2852	1072	NA
39	4193704	443732	Type 2 diabetes mellitus without complication	Condition	Disorder due to type 2 diabetes mellitus	Condition	772	2669	2.09095509294819e-23	*	1.17563318289191	2669	67.3922817534657	1650	47	1.93961097641382e-54	*	7489	6245	2270	NA
40	201826	443732	Type 2 diabetes mellitus	Condition	Disorder due to type 2 diabetes mellitus	Condition	815	2445	6.74825513209915e-23	*	1.17497462011076	2445	68.6932515337423	1110	53	5.43957279966497e-112	*	5983	6245	2081	NA
41	319034	1373225	Hypertensive heart disease without congestive heart failure	Condition	perindopril	Drug	1128	1880	3.65526562246033e-14	*	1.16761796348349	1880	68.1164893617021	356	60	7.50822222077419e-242	*	7272	2852	1610	NA
42	314378	1332418	Hypertensive heart disease with congestive heart failure	Condition	amlodipine	Drug	882	1805	5.00109477479067e-15	*	1.1668649440855	1805	70.6265927977839	618	44	1.37610629616727e-131	*	5137	4173	1547	NA
43	442604	1332418	Hypertensive heart disease	Condition	amlodipine	Drug	1022	1608	4.54354809568745e-14	*	1.1644477829491	1608	69.7730099502488	290	83	2.25843967265851e-210	*	4028	4173	1381	NA
44	4193704	1124300	Type 2 diabetes mellitus without complication	Condition	diclofenac	Drug	728	2357	1.39750090352691e-16	*	1.1567447354335	2357	67.4263894781502	526	24	1.06326932800468e-272	*	7489	3868	2038	NA
45	4041554	1503297	Serum cholesterol raised	Condition	metformin	Drug	769	2551	1.14720455247992e-20	*	1.14938832122515	2551	65.12426499412	1381	46	4.19393624432102e-78	*	5251	7887	2219	NA
46	319034	1314577	Hypertensive heart disease without congestive heart failure	Condition	nebivolol	Drug	923	1142	5.30829407317125e-07	*	1.14673698376432	1142	65.6322241681261	288	43	5.24296652555775e-117	*	7272	1826	996	NA
47	438720	1503297	Mixed hyperlipidemia	Condition	metformin	Drug	689	1131	5.21749219326863e-09	*	1.14643491221647	1131	64.8558797524315	948	25	3.93588528383928e-05	*	2698	7887	987	NA
48	4193704	1334456	Type 2 diabetes mellitus without complication	Condition	ramipril	Drug	718	1295	8.25913623527601e-08	*	1.14641273553958	1295	69.3814671814672	326	28	3.44406252409094e-134	*	7489	2392	1130	NA
49	201826	1334456	Type 2 diabetes mellitus	Condition	ramipril	Drug	750	1201	1.9069496210495e-07	*	1.14520095793927	1201	70.3430474604496	166	38	2.09595244375347e-187	*	5983	2392	1049	NA
50	4193704	1307046	Type 2 diabetes mellitus without complication	Condition	metoprolol	Drug	700	2562	4.31784197386074e-16	*	1.14383680463445	2562	69.5565964090554	616	58	1.45518353673692e-274	*	7489	4500	2240	NA
51	4193704	1373225	Type 2 diabetes mellitus without complication	Condition	perindopril	Drug	932	1733	6.899989737063e-10	*	1.1410885188648	1733	66.9596076168494	320	67	7.58719176672967e-226	*	7489	2852	1519	NA
